original_user_id,user_id
-100077120,0
-1001608536,1
-1001801844,2
-100223082,3
-1002720552,4
-1002766668,5
-100284435,6
-1003658481,7
-1003884945,8
-1003978062,9
-1005055386,10
-1006042479,11
-1006059024,12
-100611981,13
-1006862196,14
-1007062485,15
-1008417753,16
-1009154340,17
-1010835408,18
-1010911272,19
-1014310926,20
-1017449544,21
-1018751235,22
-1018829040,23
-1019607861,24
-1021794915,25
-102313920,26
-1026125154,27
-1026581298,28
-1027960563,29
-102922602,30
-1030965699,31
-1031534724,32
-1031748036,33
-1034154042,34
-103431813,35
-1034438808,36
-1035026337,37
-1035397227,38
-1036147080,39
-1036406406,40
-1036531143,41
-103667784,42
-1038138006,43
-1038488322,44
-1039242249,45
-1043674365,46
-1044037425,47
-1046392392,48
-1048050633,49
-1048713948,50
-1048791168,51
-1049697417,52
-1050048933,53
-1054792374,54
-1054886649,55
-1055140329,56
-1056641124,57
-1065356631,58
-1069567623,59
-1071410064,60
-1071719724,61
-1072040067,62
-1072721193,63
-1072871409,64
-1073888286,65
-1075736961,66
-1076011083,67
-1077113946,68
-1077329970,69
-1077394014,70
-107794743,71
-1078028721,72
-1078154733,73
-1078414053,74
-1081183746,75
-1081499628,76
-1082199396,77
-1082199969,78
-1082223741,79
-1083205224,80
-108346146,81
-1084561278,82
-1084682175,83
-1085296161,84
-1085342250,85
-1085409093,86
-1086271176,87
-1086301449,88
-1086431487,89
-1086863658,90
-1087191165,91
-1087627095,92
-1087798566,93
-1088692881,94
-1089254448,95
-1089433275,96
-1089539424,97
-1089670989,98
-1090942242,99
-1091726259,100
-1091742378,101
-1091996931,102
-1092139404,103
-109478940,104
-109522851,105
-1096092465,106
-1096159767,107
-1097139045,108
-1097927247,109
-1099177197,110
-1099304751,111
-1099490754,112
-1099791936,113
-1099874883,114
-1100232756,115
-1100292936,116
-1100455929,117
-1101044007,118
-1101310515,119
-1102336926,120
-1102705218,121
-1103106414,122
-1103178342,123
-1104160509,124
-110588805,125
-1105986222,126
-1106520888,127
-110656968,128
-1106613657,129
-1106670696,130
-1107679314,131
-1109659665,132
-1110913326,133
-111217179,134
-111242184,135
-1112693628,136
-1115923497,137
-1115957193,138
-1116042765,139
-1116149739,140
-1116172347,141
-1116948942,142
-1116994008,143
-1117068918,144
-1117259085,145
-1117646703,146
-1118655393,147
-1118900604,148
-1119240279,149
-1119740679,150
-1119881598,151
-1119897063,152
-1120095783,153
-1120783962,154
-1120984161,155
-1122074079,156
-1122928671,157
-1123180107,158
-1123292397,159
-112340355,160
-112486332,161
-112508013,162
-112626186,163
-1127093376,164
-1129331019,165
-1129346049,166
-1129449960,167
-1129809945,168
-1131712341,169
-1132261041,170
-1132266693,171
-1133578182,172
-1133579034,173
-1133650326,174
-1133688585,175
-113383530,176
-1133849409,177
-1134209694,178
-1134603309,179
-1134695643,180
-1134814236,181
-1135679799,182
-1135940247,183
-113604735,184
-113605146,185
-1136614959,186
-1137585999,187
-1137947481,188
-1138056387,189
-1138419702,190
-1138842885,191
-1139088948,192
-1139228655,193
-1140071151,194
-1140173421,195
-1140201648,196
-1141145091,197
-114166842,198
-114213837,199
-1142176104,200
-1142966769,201
-1143150660,202
-1143255363,203
-114392004,204
-1144380102,205
-114440487,206
-1144992180,207
-1145663085,208
-1145847951,209
-1146576420,210
-1146876735,211
-1149706047,212
-1149735972,213
-1149760284,214
-1150519662,215
-1150676880,216
-1150714935,217
-1151627079,218
-1151730921,219
-1151796651,220
-1152747600,221
-1152785934,222
-1152799605,223
-1152845925,224
-1152952566,225
-1153118046,226
-1153704501,227
-1153897794,228
-1154114844,229
-115423356,230
-1154402571,231
-1154552448,232
-1154693601,233
-1154849013,234
-1155216675,235
-1155554925,236
-1156523589,237
-1156608072,238
-115749420,239
-115764489,240
-11596626,241
-1159700562,242
-1159879836,243
-1160611605,244
-1161957480,245
-116266668,246
-1165921404,247
-1166531277,248
-1166585502,249
-1167000432,250
-1167093369,251
-1167403569,252
-1167537567,253
-116792679,254
-1168088505,255
-1168319844,256
-1168559979,257
-1169015700,258
-1169660985,259
-1170151194,260
-1170503214,261
-1170752544,262
-1170854853,263
-1171656507,264
-1171925490,265
-1172209242,266
-1172642061,267
-1172660907,268
-1172684040,269
-1172776023,270
-11730315,271
-1173053796,272
-1173435465,273
-1175635707,274
-1175805306,275
-1177652928,276
-1177819974,277
-1178668833,278
-117985482,279
-117995136,280
-1181145540,281
-1182026886,282
-1182867477,283
-118327341,284
-1183907145,285
-1184119311,286
-1185406239,287
-1185417981,288
-1185681327,289
-1186620330,290
-1187143602,291
-1187615310,292
-1187713350,293
-1188019245,294
-1188370542,295
-1188546411,296
-1189117296,297
-1189311438,298
-1189547118,299
-118989174,300
-1189902600,301
-1190489259,302
-1190611611,303
-1190844669,304
-1191023088,305
-1191121185,306
-1193549070,307
-1193995545,308
-1194160215,309
-1194238395,310
-119459031,311
-1194990396,312
-1195730112,313
-1196121510,314
-1196167041,315
-1196904408,316
-119756145,317
-119760972,318
-1198005633,319
-1198344336,320
-1199837289,321
-1200089955,322
-1200836742,323
-1200896394,324
-1201033761,325
-12012522,326
-12023652,327
-1202848458,328
-1203904428,329
-1203964959,330
-1203999219,331
-1204895601,332
-1204908993,333
-1204997757,334
-1205420049,335
-1205956650,336
-120627018,337
-1206595080,338
-1206813222,339
-1206849609,340
-1207760268,341
-1207876800,342
-1212448152,343
-121593840,344
-1216377042,345
-1216901124,346
-1219671378,347
-1219771140,348
-1220742204,349
-1220772687,350
-12217233,351
-1221885651,352
-1230023736,353
-123214962,354
-1233190779,355
-1233265260,356
-1233463545,357
-1236400104,358
-1236679818,359
-1238481765,360
-1238542560,361
-1238681706,362
-1239771750,363
-1239985233,364
-1241471796,365
-1243810833,366
-1244879817,367
-1245613113,368
-1250881236,369
-1250982207,370
-125121885,371
-1251305049,372
-1252273068,373
-1253289840,374
-1254145485,375
-1254250329,376
-1254450225,377
-1255364568,378
-1255567035,379
-1256344041,380
-1256589993,381
-1256687919,382
-1257060507,383
-1257389373,384
-125864973,385
-125950002,386
-125969841,387
-1261224726,388
-126138915,389
-1266694239,390
-1266899292,391
-1268067585,392
-1268467062,393
-126893208,394
-1272109413,395
-127286508,396
-1273511538,397
-1273901298,398
-12741543,399
-127630812,400
-1276774794,401
-127863168,402
-1283594514,403
-1284665928,404
-1285619742,405
-1286431101,406
-1287198876,407
-1287782250,408
-1289136351,409
-1289586708,410
-1290037659,411
-1291533657,412
-1291741809,413
-1292213310,414
-1299581538,415
-130103895,416
-1302440496,417
-1305513162,418
-13064631,419
-1307004039,420
-1307568759,421
-1310334309,422
-131350038,423
-131384988,424
-131390100,425
-1314407424,426
-1315443777,427
-1317345801,428
-1317385218,429
-1319456370,430
-1320041043,431
-1320295800,432
-1321013193,433
-1321629813,434
-1322524362,435
-1323571035,436
-1323768120,437
-1325677854,438
-132855072,439
-1330072611,440
-133251498,441
-1334961258,442
-1335050559,443
-1335061308,444
-133513011,445
-133524807,446
-1336394613,447
-1339602180,448
-1342594776,449
-1342635072,450
-1344832263,451
-1346565276,452
-1347118893,453
-1347189570,454
-1347961152,455
-1348092534,456
-1349608038,457
-1349635236,458
-1349698959,459
-1349863464,460
-1350388800,461
-1350733023,462
-1350813771,463
-1350839139,464
-1350893760,465
-1350921588,466
-1351181109,467
-1351318725,468
-1351909200,469
-1352184381,470
-1352957487,471
-1353625440,472
-1354183140,473
-1354250352,474
-1354999488,475
-135587163,476
-1355991531,477
-1356908658,478
-1356995901,479
-1357013694,480
-135747360,481
-1358704764,482
-1359030087,483
-1359151941,484
-1361385492,485
-1361389836,486
-1362626310,487
-1363439310,488
-1363545042,489
-1363892820,490
-1364198928,491
-1364308782,492
-1364476425,493
